teste de escrita 	 2018-12-02 21:44:46
teste de escrita 	 2018-12-02 21:45:02
teste de escrita 	 2018-12-02 21:45:02
teste de escrita 	 2018-12-02 21:45:02
teste de escrita 	 2018-12-02 21:45:02
teste de escrita 	 2018-12-02 21:45:02
teste de escrita 	 2018-12-02 21:45:03
teste de escrita 	 2018-12-02 21:45:03
teste de escrita 	 2018-12-02 21:45:03
teste de escrita 	 2018-12-02 21:45:03
teste de escrita 	 2018-12-02 21:45:41
teste de escrita 	 2018-12-02 21:45:42
teste de escrita 	 2018-12-02 21:45:42
teste de escrita 	 2018-12-02 21:45:42
teste de escrita 	 2018-12-02 21:45:42
teste de escrita 	 2018-12-02 21:45:42
teste de escrita 	 2018-12-02 21:45:43
teste de escrita 	 2018-12-02 21:45:43
teste de escrita 	 2018-12-02 21:45:43
teste de escrita 	 2018-12-02 21:45:43
teste de escrita 	 2018-12-02 21:45:43
teste de escrita 	 2018-12-02 21:45:44
